2025-02-28 12:40:33,005 [INFO] - Episode 10, Reward: 341.67, Steps: 10, Epsilon: 0.088, Temperature: 0.875
2025-02-28 12:42:24,933 [INFO] - Episode 20, Reward: 290.54, Steps: 10, Epsilon: 0.075, Temperature: 0.750
2025-02-28 12:44:28,500 [INFO] - Episode 30, Reward: 534.16, Steps: 10, Epsilon: 0.056, Temperature: 0.562
2025-02-28 12:45:36,835 [INFO] - Episode 40, Reward: 321.11, Steps: 10, Epsilon: 0.044, Temperature: 0.500
2025-02-28 12:47:10,979 [INFO] - Episode 50, Reward: 527.19, Steps: 10, Epsilon: 0.025, Temperature: 0.500
2025-02-28 12:48:40,202 [INFO] - Episode 60, Reward: 341.58, Steps: 10, Epsilon: 0.013, Temperature: 0.500
2025-02-28 12:49:21,843 [INFO] - Episode 64, Reward: 505.70, Steps: 10, Epsilon: 0.010, Temperature: 0.500
2025-02-28 12:51:19,129 [INFO] - Episode 10, Reward: 524.71, Steps: 10, Epsilon: 0.088, Temperature: 0.875
2025-02-28 12:52:25,851 [INFO] - Episode 20, Reward: 527.41, Steps: 10, Epsilon: 0.075, Temperature: 0.750
2025-02-28 12:54:22,702 [INFO] - Episode 30, Reward: 513.56, Steps: 10, Epsilon: 0.056, Temperature: 0.562
2025-02-28 12:55:53,340 [INFO] - Episode 40, Reward: 529.47, Steps: 10, Epsilon: 0.044, Temperature: 0.500
2025-02-28 12:57:40,925 [INFO] - Episode 50, Reward: 317.91, Steps: 10, Epsilon: 0.025, Temperature: 0.500
2025-02-28 12:58:51,609 [INFO] - Episode 60, Reward: 513.95, Steps: 10, Epsilon: 0.013, Temperature: 0.500
2025-02-28 12:59:25,201 [INFO] - Episode 64, Reward: 307.60, Steps: 10, Epsilon: 0.010, Temperature: 0.500
2025-02-28 13:01:05,930 [INFO] - Episode 10, Reward: 511.36, Steps: 10, Epsilon: 0.088, Temperature: 0.875
2025-02-28 13:02:15,830 [INFO] - Episode 20, Reward: 331.39, Steps: 10, Epsilon: 0.075, Temperature: 0.750
2025-02-28 13:03:46,783 [INFO] - Episode 30, Reward: 314.56, Steps: 10, Epsilon: 0.056, Temperature: 0.562
2025-02-28 13:04:56,035 [INFO] - Episode 40, Reward: 513.91, Steps: 10, Epsilon: 0.044, Temperature: 0.500
2025-02-28 13:06:27,255 [INFO] - Episode 50, Reward: 520.49, Steps: 10, Epsilon: 0.025, Temperature: 0.500
2025-02-28 13:07:36,667 [INFO] - Episode 60, Reward: 518.06, Steps: 10, Epsilon: 0.013, Temperature: 0.500
2025-02-28 13:08:07,652 [INFO] - Episode 64, Reward: 346.34, Steps: 10, Epsilon: 0.010, Temperature: 0.500
2025-02-28 13:08:08,311 [INFO] - Episode 20 Ä£ÐÍÒÑ±£´æ: f:\code\aigui-model-service\data\models\layout\layoutModel_20_493.10.pth
2025-02-28 13:09:41,716 [INFO] - Episode 10, Reward: 297.41, Steps: 10, Epsilon: 0.088, Temperature: 0.875
2025-02-28 13:10:46,044 [INFO] - Episode 20, Reward: 520.66, Steps: 10, Epsilon: 0.075, Temperature: 0.750
2025-02-28 13:12:16,913 [INFO] - Episode 30, Reward: 509.20, Steps: 10, Epsilon: 0.056, Temperature: 0.562
2025-02-28 13:13:19,187 [INFO] - Episode 40, Reward: 526.94, Steps: 10, Epsilon: 0.044, Temperature: 0.500
2025-02-28 13:14:47,259 [INFO] - Episode 50, Reward: 299.21, Steps: 10, Epsilon: 0.025, Temperature: 0.500
2025-02-28 13:15:48,322 [INFO] - Episode 60, Reward: 358.62, Steps: 10, Epsilon: 0.013, Temperature: 0.500
2025-02-28 13:16:18,246 [INFO] - Episode 64, Reward: 516.02, Steps: 10, Epsilon: 0.010, Temperature: 0.500
